Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_19,VAR_2_19,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Same as usual residence,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Same as usual residence)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_20,VAR_2_20,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Elsewhere in New Zealand,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Elsewhere in New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_21,VAR_2_21,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Not born one year ago,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Not born one year ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_22,VAR_2_22,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Overseas,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_23,VAR_2_23,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,No fixed abode one year ago,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (No fixed abode one year ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_24,VAR_2_24,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Response unidentifiable,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Response unidentifiable)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_25,VAR_2_25,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,New Zealand not further defined,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (New Zealand not further defined)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_26,VAR_2_26,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Not stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Not stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_27,VAR_2_27,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_28,VAR_2_28,Individual,Census usually resident population count,2018,Count,Usual residence 1 year ago indicator,Total stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 1 year ago indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_29,VAR_2_29,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Same as usual residence,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Same as usual residence)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_30,VAR_2_30,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Elsewhere in New Zealand,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Elsewhere in New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_31,VAR_2_31,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Not born one year ago,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Not born one year ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_32,VAR_2_32,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Overseas,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_33,VAR_2_33,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,No fixed abode one year ago,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (No fixed abode one year ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_34,VAR_2_34,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Response unidentifiable,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Response unidentifiable)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_35,VAR_2_35,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,New Zealand not further defined,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (New Zealand not further defined)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_36,VAR_2_36,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Not stated,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Not stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_37,VAR_2_37,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_38,VAR_2_38,Individual,Census usually resident population count,2023,Count,Usual residence 1 year ago indicator,Total stated,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 1 year ago indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_39,VAR_2_39,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Same as usual residence,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Same as usual residence)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_40,VAR_2_40,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Elsewhere in New Zealand,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Elsewhere in New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_41,VAR_2_41,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Not born five years ago,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Not born five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_42,VAR_2_42,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Overseas,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_43,VAR_2_43,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,No fixed abode five years ago,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (No fixed abode five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_44,VAR_2_44,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Response unidentifiable,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Response unidentifiable)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_45,VAR_2_45,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Unable to match to admin data,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Unable to match to admin data)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_46,VAR_2_46,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,New Zealand not further defined,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (New Zealand not further defined)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_47,VAR_2_47,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Not stated,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Not stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_48,VAR_2_48,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_49,VAR_2_49,Individual,Census usually resident population count,2013,Count,Usual residence 5 years ago indicator,Total stated,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Usual residence 5 years ago indicator (Total stated)"
