Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_22,VAR_4_22,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Access to a telephone,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Access to a telephone)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_23,VAR_4_23,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Access to a fax machine,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Access to a fax machine)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_24,VAR_4_24,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Access to the internet,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Access to the internet)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_25,VAR_4_25,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Not Elsewhere Included,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Not Elsewhere Included)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_26,VAR_4_26,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Total,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_27,VAR_4_27,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Total stated,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_28,VAR_4_28,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Crowded,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_29,VAR_4_29,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Two or more bedrooms needed (severely crowded),"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Two or more bedrooms needed (severely crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_30,VAR_4_30,Household,Households in occupied private dwellings,2013,Count,Household crowding index,One bedroom needed (crowded),"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (One bedroom needed (crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_31,VAR_4_31,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Not crowded,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Not crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_32,VAR_4_32,Household,Households in occupied private dwellings,2013,Count,Household crowding index,No bedrooms needed and none spare,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (No bedrooms needed and none spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_33,VAR_4_33,Household,Households in occupied private dwellings,2013,Count,Household crowding index,One bedroom spare,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (One bedroom spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_34,VAR_4_34,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Two or more bedrooms spare,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Two or more bedrooms spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_35,VAR_4_35,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Not stated,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Not stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_36,VAR_4_36,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Total,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_37,VAR_4_37,Household,Households in occupied private dwellings,2013,Count,Household crowding index,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household crowding index (Total stated)"
