residence_sa2,NZDep_Decile,scenario,car_commuters_out,od_charged_commuters,od_trapped_commuters,od_charged_share,od_burden
123500,6.0,3e,0.0,0,0,0.0,no_charge
118001,4.0,3e,303.0,39,39,0.1287,no_charge
117100,3.0,3e,135.0,24,24,0.1778,no_charge
128000,6.0,3e,93.0,24,24,0.2581,no_charge
112500,2.0,3e,318.0,126,126,0.3962,no_charge
164700,7.0,3e,249.0,6,6,0.0241,no_charge
164800,6.0,3e,369.0,6,6,0.0163,no_charge
111300,5.0,3e,921.0,84,84,0.0912,no_charge
111100,4.0,3e,501.0,27,27,0.0539,no_charge
131100,8.0,3e,726.0,711,507,0.9793,pays_without_alternative
161500,5.0,3e,453.0,9,9,0.0199,no_charge
161201,10.0,3e,519.0,24,24,0.0462,no_charge
161100,4.0,3e,930.0,69,69,0.0742,no_charge
110501,8.0,3e,369.0,9,9,0.0244,no_charge
139100,10.0,3e,174.0,105,99,0.6034,pays_without_alternative
138800,8.0,3e,0.0,0,0,0.0,no_charge
137901,10.0,3e,291.0,105,96,0.3608,no_charge
120301,3.0,3e,687.0,81,81,0.1179,no_charge
120701,3.0,3e,690.0,93,93,0.1348,no_charge
119800,9.0,3e,840.0,159,159,0.1893,no_charge
126901,4.0,3e,777.0,243,243,0.3127,no_charge
118800,,3e,0.0,0,0,0.0,no_charge
119600,6.0,3e,627.0,108,108,0.1722,no_charge
125500,5.0,3e,474.0,102,84,0.2152,no_charge
129800,2.0,3e,378.0,33,33,0.0873,no_charge
130300,3.0,3e,546.0,72,66,0.1319,no_charge
160202,9.0,3e,534.0,6,6,0.0112,no_charge
160501,10.0,3e,420.0,12,12,0.0286,no_charge
160700,9.0,3e,708.0,9,9,0.0127,no_charge
160201,9.0,3e,366.0,6,6,0.0164,no_charge
114901,4.0,3e,528.0,117,117,0.2216,no_charge
117001,2.0,3e,1347.0,141,141,0.1047,no_charge
117002,5.0,3e,210.0,27,27,0.1286,no_charge
119700,4.0,3e,186.0,177,150,0.9516,pays_without_alternative
158402,10.0,3e,324.0,6,0,0.0185,no_charge
158401,10.0,3e,396.0,12,12,0.0303,no_charge
157600,10.0,3e,36.0,0,0,0.0,no_charge
131300,2.0,3e,63.0,9,9,0.1429,no_charge
